Name,Unit,ID,Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China: Xinjiang: Revenue of Local Government Funds: Total,CNY 10k,M0065717,Xinjiang Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"4,263,200.00 ","4,261,321.00 ","2,460,600.00 ","3,342,160.00 ","4,409,076.00 ","6,143,013.00 ","5,274,937.00 ","5,761,860.00 ","6,061,200.00 ","5,289,000.00 "
China: Anhui: Revenue of Local Government Funds: Total,CNY 10k,M0159411,Anhui Provincial Department of Finance,0.00 ,"3,527,715.00 ","3,922,308.00 ",0.00 ,"11,983,000.00 ","15,173,000.00 ","13,021,242.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"33,741,900.00 ","31,445,800.00 ","35,162,000.00 ","30,910,278.00 "
China: Ningxia: Revenue of Local Government Funds: Total,CNY 10k,D6889212,Ningxia Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,014,476.72 ","1,472,389.00 ","1,289,000.00 ","1,085,207.00 ","1,212,736.00 ","1,186,798.00 ","1,598,150.00 ","1,417,495.00 ","1,292,000.00 "
China: Guizhou: Revenue of Local Government Funds: Total,CNY 10k,P3068413,Guizhou Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"8,385,200.00 ","6,618,620.00 ","7,155,419.00 ","9,611,618.00 ","12,498,927.00 ","17,109,471.00 ","20,472,301.00 ","23,807,011.00 ","20,412,615.00 "
China: Sichuan: Revenue of Local Government Funds: Total,CNY 10k,M0065684,Sichuan Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"17,168,500.00 ","23,566,000.00 ","23,700,000.00 ","17,611,000.00 ","16,995,887.00 ","26,629,565.00 ","38,288,329.00 ","41,811,881.00 ","47,827,799.00 ","48,773,805.00 ","47,804,990.00 "
China: Hunan: Revenue of Local Government Funds: Total,CNY 10k,M0065650,Hunan Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,798,000.00 ","11,069,000.00 ","14,256,000.00 ","11,730,000.00 ","10,429,000.00 ","12,839,300.00 ","22,298,000.00 ","29,619,000.00 ","33,534,000.00 ","37,919,000.00 ","31,595,000.00 "
China: Beijing: Governmental Funds Revenue: Total,CNY 100mn,M6800057,Beijing People's Government,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,352.80 ","1,197.90 ","1,841.76 ","3,122.91 ","2,028.40 ","1,316.47 ","3,132.76 ","2,009.26 ","2,216.30 ","2,317.35 ","2,705.73 ","2,227.46 "
China: Tianjin: Revenue of Local Government Funds: Total,CNY 10k,M0065489,Tianjin Municipal Bureau of Statistics,"1,118,000.00 ",0.00 ,"2,263,000.00 ","3,885,923.00 ","9,096,433.00 ","9,391,015.00 ","10,800,000.00 ","8,135,263.00 ","10,506,354.00 ","7,295,695.00 ","9,187,961.00 ","12,295,012.00 ","11,604,537.00 ","14,307,915.00 ","9,119,310.00 ","11,264,963.00 ","4,236,627.00 "
China: Shanxi: Whole: Revenue of Local Government Funds: Total,CNY 10k,M0065542,Shanxi Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,234,700.00 ","8,022,300.00 ","9,882,500.00 ","9,459,400.00 ","5,240,800.00 ",0.00 ,0.00 ,"8,457,095.00 ","11,863,100.00 ","11,519,787.00 ","9,804,500.00 ","6,289,700.00 "
China: Henan: Revenue of Local Government Funds: Total,CNY 10k,M0159592,Henan Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"12,739,807.00 ","18,193,126.00 ","17,886,164.00 ","14,350,900.00 ","18,488,974.00 ","25,095,973.00 ","38,260,525.00 ","40,802,532.00 ","37,379,433.00 ","33,680,746.00 ","22,132,000.00 "
