Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code
Haibei,Qinghai,NA,37.81879527637194,NA,578.3004552352048,3.811,4.079,6.01,632200
Haidian,Beijing,6.83,30.747914431311173,115.08,517.8294385284704,69.747,73.539,81.96,110108
Haidong,Qinghai,47.5826,47.582579647826016,NA,1320.4635108481264,26.779000000000003,30.463,NA,630200
Haikou,Hainan,35.2593,64.3872232236775,188.86,344.8972788026246,75.2704715,75.27049,61.631100000000004,460100
Hainan,Qinghai,NA,23.26359414790033,NA,219.8616367634706,4.659000000000001,5.299,11.8484,632500
Haixi,Qinghai,26.7141,26.714141593970687,NA,155.00309896012672,22.508000000000003,24.933,74.22,632800
Hami,Xinjiang,32.44,49.52216166471421,258.42,394.5563699002476,28.188,31.862,55.41,650500
Handan,Hebei,27.36,43.077042753855,334.8,527.099523989527,118.92,139.204,42.06,130400
Hangzhou,Zhejiang,19.64,111.6409948921463,52.19,296.7221971822238,368.244,368.284,99.29,330100
Hanzhong,Shaanxi,22.6393,25.52178391839198,876.04,518.3718315441529,43.138,47.701,12.2303,610700
Harbin,Heilongjiang,52.81,59.16390671790314,914.07,1024.0093451196722,289.948,295.242,24.61,230100
Hebei,Tianjin,35.41,35.413942785419174,627.86,627.8627723690311,13.543,13.603,NA,120105
Hebi,Henan,33.45,45.091070950516695,267.87,361.0938887808159,37.032,39.246,40.1,410600
Hechi,Guangxi,35.22,43.84365765436709,76.4,95.10444710088063,39.992,40.574,14.07,451200
Hechuan,Chongqing,17.83,108.94134332036028,180.17,1100.6145530399958,17.839,17.85,57.85,500117
Hedong,Tianjin,22.66,22.657361308677096,312.67,312.6993865030675,10.194,10.299,53.92,NA
Hefei,Anhui,15.83,52.056500712428935,90.32,297.0407774229231,190.174,219.406,65.6318,340100
Hegang,Heilongjiang,39.65,39.64809384164224,NA,NA,16.224,16.384,NA,230400
Heihe,Heilongjiang,31.11,31.1102696152681,394.63,394.60134486071087,20.539,20.782,17.24,231100
Hengshui,Hebei,29.48,31.56467634356568,369.63,395.7674077756964,53.07899999999999,56.798,34.02,131100
Hengyang,Hunan,27.52,67.0150450876081,268.68,654.2473556237379,112.553,113.417,32.67,430400
Heping,Tianjin,NA,NA,118.01,14089.022117667855,3.965,3.966,NA,120101
Hexi,Tianjin,NA,NA,196.97,196.9986086265156,9.911,10.969,57.82,120103
Heyuan,Guangdong,44.3,47.770518011293326,800.5,863.2367322987158,57.349,57.518,21.46,441600
Heze,Shandong,31.19,43.57200126099911,110.46,154.29932699210127,131.175,134.025,43.43,371700
Hezhou,Guangxi,31.1,32.03979546745392,619.88,638.5364403780238,30.238,30.548,22.25,451100
Hinggan,Inner Mongolia,NA,NA,NA,NA,NA,NA,13.27,NA
Hohhot,Inner Mongolia,30.87,55.42685515955064,358.39,643.4029900333345,102.781,107.237,54.86,150100
Honghe,Yunnan,23.32,40.69887697413625,116.61,203.5569504002341,66.753,74.04299999999999,28.12,532500
Hongkou,Shanghai,NA,NA,119.93,138.6405171819522,39.048,47.65,82.21,310109
Hongqiao,Tianjin,NA,NA,846.47,846.1977186311789,13.353,13.413,41.45,120106
Hotan,Xinjiang,NA,NA,824.88,852.9444535717639,45.69,46.941,8.8,653200
Huai'an,Jiangsu,15.85,131.11128055711427,91.16,754.3185237652187,75.147,81.387,45.44,320800
Huaibei,Anhui,19.73,87.00307067002609,265.77,1172.1571920259564,25.7,27.458,47.1707,340600
Huaihua,Hunan,45.54,71.72785562366056,715.22,1126.456095961944,85.509,85.65599999999999,23.56,431200
Huainan,Anhui,27.3,73.10522915329311,349.69,936.4347822137812,42.07,48.24,40.17,340400
Huairou,Beijing,82.55,101.89903190029052,485.14,598.894362692146,36.942,37.019,34.03,110116
Huanggang,Hubei,22.82,49.302703684024166,252,544.5293386387862,62.699,67.745,25.16,421100
Huangnan,Qinghai,NA,42.3392551176842,NA,889.2045454545455,4.695,5.037,5.32,632300
Huangpu,Shanghai,NA,NA,90.9,354.1448568771762,48.296,63.54,71.05,310101
Huangshan,Anhui,36.64,46.310283948777816,246.15,295.4602011576066,36.727290000000004,38.4119,40.9296,341000
Huangshi,Hubei,20.16,126.13776571412826,301.03,1883.2200532620304,41.165,44.534,48.88,420200
Huizhou,Guangdong,19.4474,28.06688485031956,149.48,215.7335721203074,105.04027,111.71049,63.7374,441300
Huludao,Liaoning,49.33,52.4294261611762,593.81,631.1540157068583,42.945,45.159,26.09,211400
Hulun Beir,Inner Mongolia,39.07,39.07110584497598,536.3,536.3181411974978,60.014,62.102,20.85,150700
Huyanghe,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659010
Huzhou,Zhejiang,30.89,298.28985067870656,85.35,824.1174624602767,118.934,118.943,64.34,330500
Ili Kazakh,Xinjiang,23.21,43.760697591215845,369.47,696.6755783194623,66.23400000000001,69.59700000000001,24.71,654000
Ji'an,Jiangxi,32.93,78.15912927332359,312.27,734.8422316148772,90.557,97.419,31.264,360800
Ji'nan,Shandong,22.12,56.01819538029017,127.56,323.1023387441687,266.008,283.5,81.69,370100
Jiading,Shanghai,14.56,20.46799966667991,48.26,67.81836225121785,40.319,42.7,61.67,310114
Jiamusi,Heilongjiang,49.13,49.131385181776345,583.77,583.7206123564789,42.705,43.066,17.34,230800
Jiangbei,Chongqing,13.47,37.7210755204959,149.55,418.8570805128864,21.587,21.59,67.98,500105
Jiangjin,Chongqing,18.55,113.91373977048468,208.16,1278.2211437571923,24.673,24.69,58.29,500116
Jiangmen,Guangdong,23.8216,41.07001902396506,220.54,380.22036969802986,89.88851,92.8471,57.9832,440700
Jiaozuo,Henan,21.08,36.46068414605016,203.73,352.4748354713414,47.099,50.075,59.43,410800
Jiaxing,Zhejiang,24.13,152.4620431472539,81.7,516.2823604990227,162.60899999999998,162.64,72.06,330400
Jiayuguan,Gansu,NA,NA,NA,NA,NA,NA,59.32,620200
Jieyang,Guangdong,19.38,19.378707463135456,90.2273,90.22725639340725,43.81487,43.88639,19.0565,445200
Jinchang,Gansu,18.76,18.757176758784357,209.56,209.51261222744765,9.801,10.984,37.18,620300
Jincheng,Shanxi,NA,NA,NA,NA,NA,NA,73.18,140500
Jing'an,Shanghai,NA,NA,92.97,226.63706108484524,41.966,62.78,86.06,310106
Jingdezhen,Jiangxi,39.253,150.80159143413383,145.96,560.7481291938489,46.797,48.975,37.9792,360200
Jinghai,Tianjin,NA,NA,816.53,970.0091362861132,52.620000000000005,52.73,53.8,120118
Jingmen,Hubei,NA,NA,220.88,905.595402314225,39.01258967,41.18002,34.151,420800
Jingzhou,Hubei,23.5,55.01103391158709,245.49,597.5576835807952,36.60814,39.29079,31.3734,421000
Jinhua,Zhejiang,24.8,114.13242549849798,73.64,338.9326803351806,137.94,137.951,58.91,330700
Jining,Shandong,28.4752,66.49145022427919,338.23,397.0875453215949,151.4,153.97,59.9321,370800
Jinnan,Tianjin,102.26,169.98709253655355,1161.61,1930.8878665409736,57.268,57.475,NA,120112
Jinshan,Shanghai,NA,44.57392390861917,271.08,298.29995036295054,45.276,45.4,45.83,310116
Jinzhong,Shanxi,NA,NA,NA,NA,NA,NA,45.21,140700
Jinzhou,Liaoning,36.46,59.171385076916025,329.81,535.3177252648497,43.809,49.396,41.38,210700
Jiujiang,Jiangxi,28.7968,62.09464956702677,253.43,543.4260290080199,115.953,129.981,45.9753,360400
Jiulongpo,Chongqing,15.37,120.87837573034795,212.42,1671.2823490029002,27.103,27.12,58.86,500107
Jiuquan,Gansu,NA,NA,NA,NA,NA,NA,20.34,620900
Jixi,Heilongjiang,33.79,53.899892771806826,378.16,603.1525037949494,22.463,23.115,20.4,230300
Jiyuan,Henan,15.91,38.9723657245789,191.85,470.08229644628966,12.823,14.068,79.36,NA
Jizhou,Tianjin,102.49,318.7279684206852,1393.78,4334.483126531159,28.628,29.522,22.13,120119
Kaifeng,Henan,23.47,69.63847724788963,176.55,523.9172497880401,62.354,66.079,43.44,410200
Kaizhou,Chongqing,23.49,59.41584611017628,298.53,754.9917965512475,15.553999999999998,15.57,33.89,500154
Karamay,Xinjiang,22.26,31.371870824896547,226.87,319.6992897907406,25.825,28.778,81.58,650200
Kashi,Xinjiang,44,44.00245513532472,490.73,490.7105606258149,60.220000000000006,62.959,10.23,NA
Kekedala,Xinjiang,NA,NA,NA,NA,NA,NA,NA,NA
Kizilsu Kirgiz,Xinjiang,102.08,102.08640383198232,944.33,944.3971026842778,22.165,22.734,9.42,653000
Kunming,Yunnan,29.58,128.69619837511615,168.2,731.8520902915583,223.056,NA,58.53,530100
Kunyu,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659009
Laibin,Guangxi,34.28,51.72671299306504,611.05,922.0266129497628,30.895,31.128,22.04,451300
Langfang,Hebei,26.91,29.927181810877062,280.95,312.44328348556365,95.943,103.693,56.46,131000
Lanzhou,Gansu,29.81,287.4395939079289,321.92,3104.381039573487,99.66,107.952,45.61,NA
Ledong,Hainan,NA,NA,NA,NA,NA,NA,13.26,NA
Leshan,Sichuan,27.84,58.6126064477588,119.41,251.4360043340889,64.268,65.874,46.99,511100
Lhasa,Tibet,NA,NA,NA,NA,9.194,9.968,NA,540100
Liangping,Chongqing,27.81,48.88648739216555,139.39,245.0301130090317,16.051,16.051,43.27,500155
Liangshan,Sichuan,21.83,26.71852084536072,169.28,207.2094066126388,45.43,47.837,28.53,513400
