Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Anshan,Liaoning,2018,41.5919,52.95698092,420.08,534.8651346,72.82976,75.75383,54.5931,175.1058,5.1541,48810,13.56472,4.34019,35619.085,47.3,15.14388,27.73957,12.6758,83.70245934,2.19334,2.97693,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,4834.889,13564.72
Anshan,Liaoning,2019,44.8393,49.28573548,420,461.652973,78.25905,81.50088,46.8746,174.5321,6.1,48957,12.95042,4.23659,37756,NA,15.3272,32.69833,12.49466,81.51952085,3.30466,4.25037,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,4978.205,12950.42
Anshan,Liaoning,2020,45.6158,51.08646373,340.03,380.8042585,79.31675,84.926,45.188,173.88,0.4,52020,13.70782,4.12239,37979.86878,NA,15.72696,34.80341,11.34597,72.14344031,5.4694,7.42614,NA,NA,NA,NA,7.956,0.305,4.798,0.819,210300,210000,5215.757,13707.82
Anshan,Liaoning,2021,44.3416,48.40704806,365.67,404.0178867,83.72,85.946,58.3993,188.80696,4.5,57188.23565,11.26316,6.91699,41018.25829,NA,17.00188,29.11314,13.16254,77.41814435,3.51288,4.84386,NA,NA,NA,NA,NA,NA,NA,NA,210300,210000,NA,NA
Anshun,Guizhou,2016,61.9612,96.99331184,371.56,581.4970612,43.45649,45.45247,31.5933,70.135,12.4,30216,8.02565,0.17262,24885,17.463,7.03231,22.25884,5.36512,76.29242738,4.65678,4.91099,NA,NA,5.346487433,4.839577433,9.92359,9.83744,2.35636,0.003,520400,520000,NA,8025.65
Anshun,Guizhou,2017,48.7608,89.43322854,283.72,520.3716558,39.12858,45.56752,29.7957,80.246,12.3,34345,10.04811,0.21689,27224.19,21.468,7.62447,25.58917,5.49583,72.08146927,6.15298,6.52048,NA,NA,0.9113537,-0.7816463,4.30957,-0.31645,3.77371,0.11448,520400,520000,NA,10048.11
Anshun,Guizhou,2018,49.8776,93.43826136,260.12,487.291059,42.3660331,45.8765761,28.2942,84.94,10.3,36163.9,NA,0.25418,29674,NA,7.73187,27.32666,5.01431,64.85248717,8.52221,7.40928,NA,NA,0.6763,-0.2023703,5.33826,-0.34826,1.54666,0.09674,520400,520000,NA,NA
Anshun,Guizhou,2019,50.7553,97.23026644,310.73,595.2589455,46.89487069,50.40707376,21.5132,92.394,8.1,39177,NA,0.16924,32344.66013,NA,6.46485,30.05059,4.10479,63.49397124,8.59395,4.94175,NA,NA,0.15,-1.1966,4.33233,1.45164,2.56155,0.3,520400,520000,NA,NA
Anshun,Guizhou,2020,55.6757,106.6153394,413.07,790.9954179,53.82395876,54.7054609,22.6477,96.674,3.1,39160.30352,NA,0.07331,33930.00017,NA,6.70299,29.59673,3.34588,49.91623141,6.12615,10.96986,NA,NA,0.136,-1.4752237,NA,NA,NA,NA,520400,520000,NA,NA
Anshun,Guizhou,2021,56.2171,101.7983118,489.16,885.7791349,60.65324678,61.9295109,22.7589,107.89108,9.0252,43763,NA,0.08984,37028,NA,6.11424,26.86529,3.3773,55.23662794,6.20407,9.8739,NA,NA,NA,NA,7.614,0.6226,4.579,2.81239,520400,520000,NA,NA
Anyang,Henan,2016,8.2617,11.08896411,104.7,140.5280582,16.77,18.2,40.2585,202.98494,8.041557,39602.95386,27.98,NA,28167.60009,76.57,11.74474,29.17332,8.23475,70.11436609,4.23,5.26,NA,NA,NA,NA,3.75104,0.86602,NA,NA,410500,410000,3412.917,27980
Anyang,Henan,2017,8.085,11.3296625,96.77,135.6114625,18.19,20.5,50.1549,224.9854,7.200724,43846.11937,27.829,0.85678,30421.008,84.486,12.955,25.83,9.293,71.73292165,5.83,6.82,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,3670.375,26125.2
Anyang,Henan,2018,10.7763,14.58863091,91.34,123.6195221,25.79,29.229,42.6397,239.3224,6.7,46443.24,16.293,0.895,32702.58,NA,15.41,36.14,11.7,75.92472421,12.82,13.33,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,4408.087,16293
Anyang,Henan,2019,13.8761,18.46822222,107.33,142.8411605,30.93398,34.61,40.56,222.929458,2.7,43002.4498,17.348,NA,34959,NA,16.41,40.45206,12.14,73.97928093,12.4,14.04,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,5156.275,17347.75
