Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Dingxi,Gansu,2020,39.8341,54.040777991766,349.08,473.5734979997736,17.58098,19.67785,8.89,44.1355558,4.4,17430.41578,8.885,0.029,27612.076521,NA,2.56699,28.87518,1.51785,59.12956419775691,2.46646,5.14002,NA,NA,NA,NA,NA,NA,0.02164,-0.53481,621100,620000,4881.275,8885
Dingxi,Gansu,2021,44.8742,58.015472909620655,467.73,602.4477351351857,22.471,24.855,10.8837,50.0756,8.3,19915,11.03407,0.031,29711,NA,3.0609200000000003,28.12401,1.83198,59.85063314297662,1.7514500000000002,6.019,NA,NA,NA,NA,0.007000000000000001,-0.007000000000000001,0,0,621100,620000,NA,NA
Fangchenggang,Guangxi,2016,20.82,27.559805427415657,199.19,263.7141344646802,14.074000000000002,NA,43.7907,67.60382530000001,9.1,73188,8.77993,8.75753,29758,34.088,5.56442,12.70686,3.469,62.342526265091415,1.50061,1.5310700000000002,NA,NA,NA,NA,6.37374,4.96552,0.8595,0.05,450600,450000,3791.405,8779.93
Fangchenggang,Guangxi,2017,18.8493,31.36292172268817,208.5,136.60912409201808,13.979,15.586000000000002,39.5139,74.162,6.7,79351,7.390000000000001,11.36048,32079,36.945,4.76011,12.04667,3.224,67.72952725882385,1.94482,1.17135,NA,NA,NA,NA,0.65102,-2.06203,1.32909,0.1,450600,450000,4041.228,7389.99
Fangchenggang,Guangxi,2018,21.9553,33.99233008556358,78.94,145.01728035969575,15.29888,17.188,34.5347,69.6818484,7.4,73601,7.35848,10.903,34325,NA,4.3976500000000005,12.73399,3.2646500000000005,74.23623980989848,4.01864,2.63566,NA,NA,NA,NA,2.58867,0.8677500000000002,1.15486,0.595,450600,450000,5268.234,7358
Fangchenggang,Guangxi,2019,23.9355,37.0372776335867,89.93,139.13239931622138,16.78426,18.7933,33.9765,70.123,5.4,73163,11.105,11.668,36385,NA,4.74089,13.95345,3.2590600000000003,68.74363252469473,3.20657,2.6171,NA,NA,NA,NA,0.8613,0.22769999999999996,0.952,NA,450600,450000,5898.666,11104.57
Fangchenggang,Guangxi,2020,27.1313,49.3846878092002,88,160.17850022488977,19.88208,20.928,34.7163,73.28099999999999,5.1,70697,9.5211,10.288,37185,NA,5.36932,15.4663,3.69549,68.82603383668696,4.72006,6.396,NA,NA,NA,NA,1.58672,-0.1941399999999998,3.329,NA,450600,450000,5179.65,9521.1
Fangchenggang,Guangxi,2021,27.1221,50.79780462253027,95.4231,178.72067224224304,22.1284,23.4,35.6153,81.588,9.4,77548,7.287999999999999,13.726,39676,NA,5.0941,14.303120000000002,3.57709,70.22025480457785,7.120310000000001,7.120310000000001,NA,NA,NA,NA,0.946,0.10600000000000004,2.5940000000000003,2.194,450600,450000,5075.936,7288
Fushun,Liaoning,2016,45.4945,58.94228524055972,428.68,555.3914910574144,39.356,40.231,44.1422,86.50721,-7.1,41741,5.65671,0.7799894,28467.18145,16.35,7.73283,17.518,6.11965,79.13855600084317,1.44796,1.672,NA,NA,NA,NA,11.4493,0.16410999999999945,2.35828,0,210400,210000,4217.509,5656.71
Fushun,Liaoning,2017,41.2054,48.50435683335088,399.02,469.7158677822442,39.141000000000005,40.231,48.3018,94.99,2.1,45934,5.48216,0.5862057,30346.01543,NA,8.80639,18.232,6.82608,77.51280604197633,1.00258,1.162,NA,NA,NA,NA,8.610850000000001,-0.04007000000000005,1.09491,0,210400,210000,4219.334,5482.16
