Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Jiangjin ,18.55,113.91373977048468,208.16,1278.2211437571923,24.673,24.69,58.29,Chongqing
Changshou ,18.16,127.20192993612018,160.92,1127.1119208963055,16.681,16.688,55.32,Chongqing
Hechuan ,17.83,108.94134332036028,180.17,1100.6145530399958,17.839,17.85,57.85,Chongqing
Rongchang,16.91,43.37501169560867,189.52,483.7413938028517,13.822,13.822,32.37,Chongqing
Fuling ,15.52,72.94733473926627,175.43,824.3673524767878,23.352,23.354,49.75,Chongqing
Jiulongpo ,15.37,120.87837573034795,212.42,1671.2823490029002,27.103,27.12,58.86,Chongqing
Yongchuan ,14.27,83.73504359799308,166,973.797349332012,17.169999999999998,17.19,39.9,Chongqing
Jiangbei ,13.47,37.7210755204959,149.55,418.8570805128864,21.587,21.59,67.98,Chongqing
Yubei ,9.07,102.79014250442944,127.61,1446.4608199482357,20.83,20.84,51.6,Chongqing
Yuzhong ,8.97,206.20434587722545,141.23,3246.9123930517503,14.001,14.01,53.02,Chongqing
Fujian,22.4096,53.81753118042454,144.7954,347.7314212186691,1190.172,1285.72,58.5499,Fujian
Putian,35.59,51.63088590229924,456.1,661.7811509734547,110.91527,114.96523,54.7617,Fujian
Nanping,33.22,69.14617277953649,385.94,803.2952737848041,73.46900000000001,76.725,30.065,Fujian
Longyan,29.5948,82.7539442188012,390.51,1091.950293504124,98.09106316,109.75744,45.6879,Fujian
Sanming,24.9392,48.23224506058248,407.4,788.0161242170611,77.56443,88.04199,31.6399,Fujian
Ningde,22.8691,33.02449282312033,299.6,432.644833519773,81.291,86.499,43.8603,Fujian
Xiamen,22.6564,55.667675468105735,92,226.04574698833747,176.78,185.9,81.1795,Fujian
Zhangzhou,19.28,39.83407978666381,151.18,312.2762337512378,110.05,117.949,50.3332,Fujian
Quanzhou,17.4546,41.95689301997361,238.87,574.1964971891903,211.2524,238.04682,65.3467,Fujian
Fuzhou,14.9454,62.27045824472812,92.0759,383.6372845980897,183.95131779,200.0745,69.8586,Fujian
Gansu,0.0054,79.02104324388124,133.36,223.1819969240968,0.060875,NA,21.29,Gansu
Dingxi,51.3,57.059846165307484,601.11,668.5300287906342,28.622000000000003,29.657,9.85,Gansu
Wuwei,47.54,47.535423575520056,752.85,752.984718242598,31.535000000000004,NA,12.04,Gansu
Pingliang,38.13,64.14389380010286,451.64,759.7090526909728,24.465,26.234,16.33,Gansu
Lanzhou,29.81,287.4395939079289,321.92,3104.381039573487,99.66,107.952,45.61,Gansu
Jinchang,18.76,18.757176758784357,209.56,209.51261222744765,9.801,10.984,37.18,Gansu
Tianshui,NA,NA,NA,NA,NA,NA,14.13,Gansu
Jiuquan,NA,NA,NA,NA,NA,NA,20.34,Gansu
Baiyin,NA,NA,NA,NA,NA,NA,15.22,Gansu
Jiayuguan,NA,NA,NA,NA,NA,NA,59.32,Gansu
Gannan,NA,NA,NA,NA,NA,NA,4.46,Gansu
Linxia,NA,NA,NA,NA,NA,NA,6.52,Gansu
Longnan,NA,NA,NA,NA,NA,NA,8.73,Gansu
Qingyang,NA,NA,NA,NA,NA,NA,22.05,Gansu
Zhangye,NA,NA,NA,NA,NA,NA,16.23,Gansu
Guangdong,19.4258,32.32758644460968,94.6462,157.50644943574693,2508.228,2625.807,71.7438,Guangdong
Meizhou,54.0464,58.94618870168637,648.62,707.4240295743808,71.24456,71.33943000000001,88.4534,Guangdong
Heyuan,44.3,47.770518011293326,800.5,863.2367322987158,57.349,57.518,21.46,Guangdong
Shaoguan,39.1411,40.708736237472266,647.64,477.3568926391849,61.21395,61.52201,26.6109,Guangdong
Yunfu,38.1492,38.75355832195487,136.34,138.49845647614646,44.34575,44.36014,37.3763,Guangdong
Qingyuan,37.51,40.81056454003213,540.66,398.44297511348674,76.230949999999993,76.35560000000001,33.5259,Guangdong
Shanwei,36.8978,38.93338632246108,108.08,114.0454930078477,48.77967,50.55258,20.6687,Guangdong
Zhaoqing,36.8053,55.63186225916341,619.02,552.9762953044388,99.56023,99.73247,40.5113,Guangdong
Zhuhai,27.28,62.977775698903706,134.13,309.6608237023761,110.355,112.031,58,Guangdong
Shantou,26.8917,28.859033054973757,445.96,478.7267768081364,81.144,81.551,33.2122,Guangdong
Chaozhou,26.0358,27.9560017614282,694.57,517.9939260514923,34.18444,34.18493,22.902,Guangdong
Zhanjiang,25.3353,32.035095474086994,402.63,509.1054233465605,94.05892,94.30881,28.1485,Guangdong
Yangjiang,24.7708,27.098482766680565,97.286,106.42778142332818,38.02369,38.57027,29.0796,Guangdong
Jiangmen,23.8216,41.07001902396506,220.54,380.22036969802986,89.88851,92.8471,57.9832,Guangdong
Huizhou,19.4474,28.06688485031956,149.48,215.7335721203074,105.04027,111.71049,63.7374,Guangdong
Jieyang,19.38,19.378707463135456,90.2273,90.22725639340725,43.81487,43.88639,19.0565,Guangdong
Zhongshan,19.0935,22.429953298308032,155.77,182.9913296182431,69.3339059,71.0417114,68.2358,Guangdong
Foshan,17.94,24.08396554651574,167.46,224.84016119410376,227.781,249.247,78.038,Guangdong
Maoming,17.2539,18.77673264286245,304.27,331.0817233549369,67.37,67.51,27.488,Guangdong
Guangzhou,16.1435,44.35994431226013,92.4327,253.9913077315424,465.56247,505.1349,59.0911,Guangdong
Dongguan,11.9685,20.192410361851277,111.64,188.35800584996255,134.05088,137.66637,88.71,Guangdong
Shenzhen,6.43,15.586621938110111,28.9,70.05121449818704,208.288,222.62,80.2897,Guangdong
Guangxi,36.9347,96.43561165292935,117.2302,306.0847274394405,971.416,NA,NA,Guangxi
Chongzuo,36.16,55.36442437258094,118.82,181.9448615150483,39.084,39.871,16.09,Guangxi
Hechi,35.22,43.84365765436709,76.4,95.10444710088063,39.992,40.574,14.07,Guangxi
Laibin,34.28,51.72671299306504,611.05,922.0266129497628,30.895,31.128,22.04,Guangxi
Bose,32.19,46.19546073278006,91.84,131.7964741990067,55.661,57.2,20.74,Guangxi
Hezhou,31.1,32.03979546745392,619.88,638.5364403780238,30.238,30.548,22.25,Guangxi
Wuzhou,28.81,41.82272251909951,540.35,784.3390287805812,40.904,41.733,NA,Guangxi
Guilin,27.3,227.61191385868008,99.51,829.7499389087644,66.489,67.399,26.89,Guangxi
Fangchenggang,26.16,40.619494914955375,574.83,892.4857157800725,25.327,26.401,29.3,Guangxi
Nanning,25.45,139.389255490062,101.16,553.9625509264766,132.822,143.397,46.81,Guangxi
Liuzhou,24.56,118.8632874346159,504.93,2444.1577931884262,76.345,78.27000000000001,41.75,Guangxi
Qinzhou,20.82,43.32087650541993,99.27,206.51046963965288,39.92,41.469,29.63,Guangxi
