Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Siping,21.23,21.232229117601552,464.07,464.1488162344983,12.351,NA,12.25,Jilin
Songyuan,20.98,28.83270602237754,NA,NA,18.306,18.741,NA,Jilin
Liaoning,37.8941,44.43386811502084,158.02,185.2963029301891,1097.984,1171.849,40.3694,Liaoning
Yingkou,70.21,75.8265964178821,646.48,698.137214173516,100.519,103.322,51.45,Liaoning
Panjin,56.3,59.37938092432762,525.56,554.2791110851576,78.501,81.027,56.55,Liaoning
Huludao,49.33,52.4294261611762,593.81,631.1540157068583,42.945,45.159,26.09,Liaoning
Anshan,47.1307,51.54029928886862,NA,506.0596839956788,87.814,90.279,48.9,Liaoning
Fushun,44.8,44.80004311738709,567.77,567.7732240437159,41.561,43.782,34.9,Liaoning
Tieling,44.3,44.29726862901087,494.44,494.4354003255883,33.409,34.095,21.23,Liaoning
Liaoyang,41.66,41.65732226956717,368.77,368.7710939051023,37.15,37.901,53.21,Liaoning
Dandong,38.67,39.12160132480072,374.66,379.0450375285544,34.441,35.491,29.35,Liaoning
Benxi,37.13,37.12505371723249,408.4,408.41508095969743,34.556,35.928,45.66,Liaoning
Jinzhou,36.46,59.171385076916025,329.81,535.3177252648497,43.809,49.396,41.38,Liaoning
Fuxin,32.35,32.34723905141077,379.96,380.59063136456217,18.687,19.387,27.85,Liaoning
Dalian,30.19,40.78008055912418,243.18,328.52958489653327,254.49,273.314,68.13,Liaoning
Chaoyang,26.06,26.245870617799,224.14,225.70995042964563,25.932,28.115,25.73,Liaoning
Shenyang,24.79,31.162779115414903,223.59,281.06287050571336,190.78,207.779,68.04,Liaoning
Neimenggu),40.3292,47.04697471317369,NA,332.1174239289276,933.9692828,NA,47.9924,Neimenggu
Ulanqab,76.77,76.77866195107575,964.94,964.9709840721076,78.15299999999999,80.011,16.78,Neimenggu
Bayannur,49.96,49.96496404204315,612.1,612.0623447029591,54.19199999999999,54.705,25.18,Neimenggu
Hulun Buir,39.07,39.07110584497598,536.3,536.3181411974978,60.014,62.102,20.85,Neimenggu
Tongliao,38.65,38.64707388910232,487.38,487.3556721840937,60.359,63.452,21.82,Neimenggu
Wuhai,31.67,31.669820245979185,280.28,280.27982813704966,25.441,NA,67.04,Neimenggu
Hohhot,30.87,55.42685515955064,358.39,643.4029900333345,102.781,107.237,54.86,Neimenggu
Ordos,29.88,32.896307011269094,185.77,204.51121970891757,167.736,173.75,84.64,Neimenggu
Baotou,28.58,32.61968049642924,472.41,539.0944904960775,107.19,110.53,43.94,Neimenggu
Chifeng,28.13,45.86004919682089,530.68,865.247472507684,60.429,NA,19.95,Neimenggu
Alxa,NA,NA,NA,NA,NA,NA,35.09,Neimenggu
Xilin Gol,NA,NA,NA,NA,NA,NA,33.55,Neimenggu
Hinggan,NA,NA,NA,NA,NA,NA,13.27,Neimenggu
Ningxia,39.3781,54.45376459410759,134.16,185.53351437476056,199.63,223.69,29.0559,Ningxia
Guyuan,49.37,49.36779925795743,70.16,70.16235343093041,20.225,NA,5.59,Ningxia
Zhongwei,34.54,34.53865115536718,652.43,652.4623115577889,19.476,22.47,11.8,Ningxia
Wuzhong,27.25,27.251652191965675,418.7,418.6392629340893,23.628,27.257,15.2,Ningxia
Yinchuan,26.1383,56.27957208794264,88.96,552.6028941037407,66.277,77,52.45,Ningxia
Shizuishan,NA,19.247411082585742,NA,513.0718954248366,13.345,15.522,21.24,Ningxia
Qinghai,84.328,92.99821680324482,133.5153,171.1336897415078,304.43,326.07,16.6624,Qinghai
Haidong,47.5826,47.582579647826016,NA,1320.4635108481264,26.779000000000003,30.463,NA,Qinghai
Xining,31.48,50.5130127618147,278.06,446.2050633085684,51.761,57.771,38.85,Qinghai
Haixi,26.7141,26.714141593970687,NA,155.00309896012672,22.508000000000003,24.933,74.22,Qinghai
Hainan,NA,23.26359414790033,NA,219.8616367634706,4.659000000000001,5.299,11.8484,Qinghai
Huangnan,NA,42.3392551176842,NA,889.2045454545455,4.695,5.037,5.32,Qinghai
Haibei,NA,37.81879527637194,NA,578.3004552352048,3.811,4.079,6.01,Qinghai
Yushu,NA,34.38494534384945,NA,884.3416370106762,2.4850000000000003,2.603,2.05,Qinghai
Golog,NA,57.34800447594181,NA,1045.9183673469388,3.075,3.2990000000000004,NA,Qinghai
Shaanxi,29.8485,84.16752046809324,NA,505.70913209797936,978.216,1059.015,48.942,Shaanxi
Shangluo,44.88,51.27549975353439,765.93,875.1742635694026,40.507,43.904,8.92,Shaanxi
Ankang,37.84,46.331916245710005,615.65,753.8666864835193,48.006,51.167,8.49,Shaanxi
Tongchuan,37.7051,42.56915705706656,553.58,624.9970915010092,19.06183,20.13823,16.6286,Shaanxi
Xi'an,31.5632,167.0981576130008,170.36,901.8948115709968,362.551,389.997,53.02,Shaanxi
Yan'an,27.8329,35.31116193525335,344.22,289.99056812964426,62.12106,71.89714000000001,37.8004,Shaanxi
Weinan,25.1437,41.0378706348103,343.84,561.1937394990927,55.34447,59.25207,17.491,Shaanxi
Hanzhong,22.6393,25.52178391839198,876.04,518.3718315441529,43.138,47.701,12.2303,Shaanxi
Xianyang,15.35,47.647815588905246,189.83,589.072280155629,43.261,48.969,23.45,Shaanxi
Baoji,13.45,21.864069314877327,398.34,647.3322022411224,36.906,43.175,23.02,Shaanxi
Yulin,8.5946,13.656634137229224,52.9,84.06402256835217,56.24,62.773,86.4441,Shaanxi
Shandong,26.9777,65.5850855461167,115.6125,281.0632938255547,2358.802,2441.56,58.5585,Shandong
Binzhou,40.3,54.64454014102482,145.67,197.50674684813035,119.904,124.34,57.23,Shandong
Liaocheng,35.05,43.45078514342501,120.5,149.3719811050171,97.438,98.983,45.15,Shandong
Zaozhuang,32.04,53.09408883687422,89.22,147.84498798505996,65.33200000000001,65.66900000000001,54.26,Shandong
Heze,31.19,43.57200126099911,110.46,154.29932699210127,131.175,134.025,43.43,Shandong
Dezhou,31.06,48.736530768481465,235.52,369.5623015840917,112.839,115.776,42.53,Shandong
Jining,28.4752,66.49145022427919,338.23,397.0875453215949,151.4,153.97,59.9321,Shandong
Weihai,26.268,76.15447964215505,101.7603,295.01623586961176,89.52622,91.001,56.1293,Shandong
Weifang,26.14,87.30199580235954,110.2619,368.2620050103726,190.9863,192.56595,72.7125,Shandong
Tai'an,26,61.76335276859698,86.4752,205.3824910675294,83.167,84.494,50.4222,Shandong
Linyi,25.32,48.05979714696028,104.57,198.466045746952,146.325,149.208,48.03,Shandong
Zibo,24.52,60.799001891102975,120.58,298.9564931712049,107.962,108.948,71.41,Shandong
Rizhao,23.1241,54.5155127046693,75.6183,178.27129902452782,53.34204,54.794,64.02,Shandong
Ji'nan,22.12,56.01819538029017,127.56,323.1023387441687,266.008,283.5,81.69,Shandong
Qingdao,20.6388,109.6940169601354,241.87,830.8235974587225,307.947,339.025,70.7332,Shandong
Dongying,20.5748,29.13138206550871,197.69,280.2721175938198,74.49614,75.155,71.2099,Shandong
Yantai,19.0808,28.11752541682727,113.7925,167.68495183079267,181.57029,184.806,68.8059,Shandong
Shanghai,19.1222,37.40578006424367,NA,141.01436220863843,853.86,1130.31,80.9969,Shanghai
Chongming,104.82,104.81921618204804,193.41,193.4123355416628,41.456,42.65,38.48,Shanghai
Fengxian ,36.66,61.82885457137037,129.48,218.37363281623632,49.492,50.07,66.06,Shanghai
Jiading ,14.56,20.46799966667991,48.26,67.81836225121785,40.319,42.7,61.67,Shanghai
Songjiang ,11.21,22.17515043181039,30.81,61.658629013568046,19.39,30.7,61.65,Shanghai
Qingpu ,9.5,9.50279141219229,30.01,30.01064962726305,12.681,18.51,58.55,Shanghai
Pudong ,4.93,34.39380188514894,41.14,287.16197381870273,78.898,131.61,69.9,Shanghai
Jinshan ,NA,44.57392390861917,271.08,298.29995036295054,45.276,45.4,45.83,Shanghai
Baoshan ,NA,NA,67.75,70.95860587400976,19.586,22.3,56.02,Shanghai
Minhang ,NA,17.4795862410151,74.81,82.75356477128298,45.510000000000005,62.970000000000006,65.3,Shanghai
Yangpu ,NA,NA,193.64,276.5172478068033,60.738,64.55,55.85,Shanghai
Hongkou ,NA,NA,119.93,138.6405171819522,39.048,47.65,82.21,Shanghai
Putuo ,NA,36.70735307099653,91.71,119.06043894556176,35.293,41.760000000000005,59.76,Shanghai
Jing'an ,NA,NA,92.97,226.63706108484524,41.966,62.78,86.06,Shanghai
Changning ,NA,NA,48.87,116.53688203392409,9.321,13.02,89.62,Shanghai
Xuhui ,NA,NA,40.14,64.16581796330425,14.678,26.17,74.4,Shanghai
Huangpu ,NA,NA,90.9,354.1448568771762,48.296,63.54,71.05,Shanghai
Shanxi,24.5131,33.836027177964084,91.2787,125.99430064800326,628.579,NA,58.8138,Shanxi
Xinzhou,27.88,31.107327223397316,231.56,258.4126175344885,41.829,41.829,34.89,Shanxi
Linfen,NA,NA,NA,NA,NA,NA,40,Shanxi
Jincheng,NA,NA,NA,NA,NA,NA,73.18,Shanxi
Changzhi,NA,NA,NA,NA,NA,NA,63.66,Shanxi
Lvliang,NA,NA,NA,NA,NA,NA,61.96,Shanxi
Jinzhong,NA,NA,NA,NA,NA,NA,45.21,Shanxi
Shuozhou,NA,NA,NA,NA,NA,NA,63.6,Shanxi
Datong,NA,NA,NA,NA,NA,NA,NA,Shanxi
Yangquan,NA,NA,NA,NA,NA,NA,51.73,Shanxi
Yuncheng,NA,NA,NA,NA,NA,NA,23.25,Shanxi
Taiyuan,NA,NA,NA,NA,NA,NA,61.11,Shanxi
Sichuan,31.199,132.66484001199444,96.7211,411.27832612366655,1770.5400000000002,1850.7,40.9764,Sichuan
Bazhong,95.21,136.67403579579354,416.29,597.5710357440705,72.837,75.22999999999999,15.91,Sichuan
Ziyang,54.1,95.50775028828303,133.25,235.2280548153199,51.299,52.325,24.25,Sichuan
Guangyuan,42.4,77.37755201475724,349.61,638.0653033958907,48.325,50.634,20.18,Sichuan
Guang'an,39.39,56.437111537213525,269.87,386.6353188921687,56.135000000000005,58.022000000000006,29.41,Sichuan
Meishan,38.89,104.9578739167538,149.13,402.4845307610551,63.603,67.772,50.24,Sichuan
Zigong,37.77,65.01167524134837,150.71,259.4165342156113,61.882000000000005,63.096,25.1,Sichuan
Neijiang,37.7,60.42618374081897,820.67,1315.3332258191017,62.470000000000006,64.78999999999999,29.88,Sichuan
Suining,37.58,76.2960794410178,586.93,1191.6197288878784,60.67,62.120000000000005,36.18,Sichuan
Nanchong,36.74,54.22430459010968,361.26,533.1990434328451,98.66,101.56,22.26,Sichuan
Dazhou,34.79,66.58272379625205,580.18,1110.3923691935763,87.07000000000001,89.78999999999999,31.11,Sichuan
Luzhou,33.35,79.37260036730449,123.84,294.71120717555124,86.77000000000001,88.92,41.97,Sichuan
Ya'an,33.34,46.42629839130869,272.51,379.4964093935332,30.087,32.221,35.78,Sichuan
Aba,29.14,29.145315776956178,317.58,317.62488218661645,13.48,15.907,11.45,Sichuan
Leshan,27.84,58.6126064477588,119.41,251.4360043340889,64.268,65.874,46.99,Sichuan
Garze,26.47,26.473704284442935,29.61,29.606635071090047,12.494,13.287,11.56,Sichuan
Yibin,26.36,94.6846574506278,174.45,626.5227708199368,90.37,91.94,45.19,Sichuan
Mianyang,23.44,66.54783081883627,101.72,288.7797340425097,85.019,86.997,31.87,Sichuan
Deyang,22.37,54.99801899218991,103.59,254.7267626211052,63.001,67.064,44.67,Sichuan
Chengdu,22.29,239.63433826554672,88.35,949.7748333316868,464.05,501.23,70.74,Sichuan
Liangshan,21.83,26.71852084536072,169.28,207.2094066126388,45.43,47.837,28.53,Sichuan
Panzhihua,19.55,39.11988532005211,199.92,399.98829212390046,23.866,25.541,58.58,Sichuan
Tianjin,53.0033,151.9017102694653,NA,1080.819827938646,864.5544400000001,889.0129999999999,67.1102,Tianjin
Ninghe ,102.66,128.89241240954544,2336.41,2933.413523803448,33.878,34.578,NA,Tianjin
Jizhou ,102.49,318.7279684206852,1393.78,4334.483126531159,28.628,29.522,22.13,Tianjin
Jinnan ,102.26,169.98709253655355,1161.61,1930.8878665409736,57.268,57.475,NA,Tianjin
Dongli ,92.97,259.6935976444311,999.71,2792.254479896309,63.915,64.76599999999999,77.92,Tianjin
Baodi ,82.37,147.84364511053317,NA,NA,36.582,36.878,NA,Tianjin
Beichen ,46.18,79.26488722058927,538.44,924.0315305536008,32.745,32.760000000000005,61.54,Tianjin
Hebei ,35.41,35.413942785419174,627.86,627.8627723690311,13.543,13.603,NA,Tianjin
Wuqing ,32.15,103.9399761341413,245.21,792.8428657939639,29.575,29.667,74.13,Tianjin
Hedong ,22.66,22.657361308677096,312.67,312.6993865030675,10.194,10.299,53.92,Tianjin
Xiqing ,18.91,298.9545385843838,279.42,4417.387958187164,18.721,19.964,NA,Tianjin
Nankai ,11.21,11.214618416338231,242.1,242.13031835763164,8.138,8.358,64.21,Tianjin
Jinghai ,NA,NA,816.53,970.0091362861132,52.620000000000005,52.73,53.8,Tianjin
Binhai ,NA,821.0846233958474,348.2,1175.5667492102873,211.419,218.102,74.44,Tianjin
Hongqiao ,NA,NA,846.47,846.1977186311789,13.353,13.413,41.45,Tianjin
Hexi ,NA,NA,196.97,196.9986086265156,9.911,10.969,57.82,Tianjin
Heping ,NA,NA,118.01,14089.022117667855,3.965,3.966,NA,Tianjin
Tibet,26.2914,49.22393638440149,NA,553.967998368496,56.07000000000001,64.53,NA,Tibet
Shannan,24.63,25.137871429747307,385.85,385.8496525584334,6.108,6.824,5.77,Tibet
Changdu,23.86,23.854785478547853,281.58,281.5738215816128,7.228,7.503,7.71,Tibet
Xigaze,23.38,42.991627036334,504.21,927.2663681162096,8.462,8.597,4.08,Tibet
Nyingchi,12.24,12.24254644966153,201.96,201.9002375296912,2.55,2.64,9.33,Tibet
Nagqu,NA,NA,1575.97,1575.0385208012326,10.222,10.314,2.09,Tibet
Ngari,NA,NA,NA,NA,2.935,3.058,NA,Tibet
Lhasa,NA,NA,NA,NA,9.194,9.968,NA,Tibet
Xinjiang,44.2622,78.03299953751126,NA,566.6611993020465,785.27,959.99,32.9928,Xinjiang
Kizilsu Kirgiz,102.08,102.08640383198232,944.33,944.3971026842778,22.165,22.734,9.42,Xinjiang
Altay,82.16,87.68759723949864,605.9,646.7910960066433,32.838,34.384,14.96,Xinjiang
Bortala,56.86,92.89712181119462,447.86,731.7224479408013,27.387,28.967,27.27,Xinjiang
Kashi,44,44.00245513532472,490.73,490.7105606258149,60.220000000000006,62.959,10.23,Xinjiang
Tacheng,37.9,46.39340362117977,485.74,594.6159162276786,33.731,37.149,22.64,Xinjiang
ürümqi,35.99,133.6058055936604,329.72,1223.886773909643,140.125,153.13,69.07,Xinjiang
Bayingolin,35.84,44.06236766292618,398.41,489.8741069822416,53.395,56.803,31.7,Xinjiang
Hami,32.44,49.52216166471421,258.42,394.5563699002476,28.188,31.862,55.41,Xinjiang
Aksu,31.4,46.77589476393184,282.37,420.5744558724866,54.629,57.971,30.77,Xinjiang
Changji,25.25,44.43704845628066,205.48,361.6033358346274,54.784000000000006,60.307,61.58,Xinjiang
Ili Kazak,23.21,43.760697591215845,369.47,696.6755783194623,66.23400000000001,69.59700000000001,24.71,Xinjiang
Karamay,22.26,31.371870824896547,226.87,319.6992897907406,25.825,28.778,81.58,Xinjiang
Xinxing,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Huyanghe,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Hotan,NA,NA,824.88,852.9444535717639,45.69,46.941,8.8,Xinjiang
Turpan,NA,NA,297.75,322.3816701769332,20.446,22.204,49.57,Xinjiang
Aral,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Shihezi,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Wujiaqu,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Tumxuk,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Kekedala,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Shuanghe,NA,NA,NA,NA,NA,NA,9.11,Xinjiang
Beitun,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Tiemenguan,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Kunyu,NA,NA,NA,NA,NA,NA,NA,Xinjiang
Yunnan,41.7843,72.2199007154475,149.4548,258.3175455364933,1209.83,NA,29.0955,Yunnan
Zhaotong,55.74,55.74230055417841,889.23,889.2339544513458,85.9,NA,18.01,Yunnan
Lijiang,51.56,53.34669594504111,598.8,619.5970435572204,31.97,NA,31.05,Yunnan
Dehong,51.17,58.66515600151588,130.62,149.76079999830426,30.042,32.202,15.92,Yunnan
Nujiang,48.72,48.721642059776734,77.93,77.9328,12.177,12.57,11.19,Yunnan
Lincang,45.61,51.21576826115732,1093.22,1227.6074777268152,45.62,NA,16.96,Yunnan
Wenshan,39.86,40.51212913296665,124.65,126.68062736334105,56.024,52.797,15.85,Yunnan
Deqen,39.75,39.754746835443044,569.76,569.6740670760511,12.06,13.438999999999998,10.22,Yunnan
Pu'er,38.87,46.38414451148681,116.59,139.1200188306871,41.71,NA,14.99,Yunnan
Dali,37.66,43.36151279411869,662.7,763.1572369798074,64,NA,23.31,Yunnan
Baoshan,35.62,40.17751464063242,823.32,928.6287364137678,44.97,NA,23.51,Yunnan
Kunming,29.58,128.69619837511615,168.2,731.8520902915583,223.056,NA,58.53,Yunnan
Xishuangbanna,27.88,31.66321970840702,603.18,685.1080254514096,20.11,NA,21.44,Yunnan
Chuxiong,26.48,32.07644282932029,532.15,644.5332818377392,46.7,NA,30.93,Yunnan
Yuxi,26.07,36.54928115004365,545.85,765.1670935780731,65.72,NA,51.63,Yunnan
Honghe,23.32,40.69887697413625,116.61,203.5569504002341,66.753,74.04299999999999,28.12,Yunnan
Qujing,20.35,22.82705627508285,121.18,135.9667784709089,77.356,NA,29.08,Yunnan
Zhejiang,25.9523,127.00025088350722,84.6366,414.1779266663903,2016.8830000000005,768.427,66.8962,Zhejiang
Lishui,55.24,101.37778909253524,100.17,183.83736056005117,101.14,101.148,28.14,Zhejiang
Quzhou,43.13,118.28692403450565,86.05,235.9895987728441,86.408,86.417,30.49,Zhejiang
Wenzhou,32.81,94.89426015760353,101.24,292.78960198953314,263.48400000000004,263.49,50.44,Zhejiang
Huzhou,30.89,298.28985067870656,85.35,824.1174624602767,118.934,118.943,64.34,Zhejiang
Zhoushan,30.7,141.27730440142983,126.14,580.4038235646672,59.912,59.985,44.08,Zhejiang
Taizhou,26.58,95.3258905258148,88.67,317.9522789811052,160.582,160.592,52.79,Zhejiang
Jinhua,24.8,114.13242549849798,73.64,338.9326803351806,137.94,137.951,58.91,Zhejiang
Jiaxing,24.13,152.4620431472539,81.7,516.2823604990227,162.60899999999998,162.64,72.06,Zhejiang
Shaoxing,22.86,204.76743952150383,311.15,2786.856454618285,168.049,168.058,67.1,Zhejiang
Hangzhou,19.64,111.6409948921463,52.19,296.7221971822238,368.244,368.284,99.29,Zhejiang
Ningbo,18.37,84.25529149820622,71.4,327.4063929497373,288.549,304.135,76.8,Zhejiang
