Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",year,Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price,GDP: Industry,GDP,Longitude,Latitude,Post Code
NA,Guizhou,61.6441,115.2675785,147.8264,276.4189699,1098.902,1165.835,31.1317,1782.656,4.455,46266.7,341.87451,7.90784,36096,NA,178.68035,573.94958,108.60432,60.78134501,204.72301,283.31885,NA,NA,9.166622339,-2.024515396,98.7,26.1,153.5,105.3,2020,      520000,520000,NA,NA,NA,NA,NA,NA,NA
NA,Guizhou,57.6414,94.61392496,148.86,244.3479225,884.981,936.15,34.3332,1535.321,9.1,41243.59,234.92273,7.63133,31591.9301,NA,172.68516,502.96774,126.60159,73.31353198,124.98927,108.19384,NA,NA,6.777519621,-4.266570089,132.714,-1.366,82.703,-4.494,2018,      520000,520000,NA,NA,NA,NA,NA,NA,NA
NA,Guizhou,61.8417,114.2746985,161.2,297.8748415,1247.011,1296.235,32.25,2016.458,1.2,52321,240.36899,11.907,41086,NA,188.63555,584.91685,102.17008,54.16268567,204.12615,229.08965,NA,NA,1.863084085,-14.93573074,106.132,11.73,102.279,48.053,2022,      520000,520000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,42.0122,45.27773988,88.2085,95.06477166,223.04,242.64,43.8043,530.893,5.8,56506.83,133.61768,13.153,36017,53.778,81.41446,185.8597,65.32489,80.23745413,45.58112,63.24998,NA,NA,0.328,NA,20.75476,11.73869,22.59,18.4,2019,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,51.137,61.12217858,121.3182,145.0073423,348.663,370.34,39.7236,681.822,0.2,66602,115.83702,30.088,40118,NA,83.2417,209.55224,60.93196,73.19884145,46.88613,87.87429,NA,NA,0.2,NA,27.10868,9.65586,50.019,38.29,2022,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,38.5265,43.44186898,84.6938,95.49943696,171.926,183.43,46.6655,446.254,7,48430,205.31061,10.368,30817.37418,48.708,67.4079,144.44913,54.35633,80.63792226,39.74595,46.57216,NA,NA,0.006661,NA,33.66588,5.28648,19.95,19.95,2017,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,47.4082,53.22776443,95.9826,107.7649561,262.2805266,281.14,41.3726,553.239,3.5,55130.94,134.16668,13.539,37097,NA,81.605950000000007,197.24636,55.98236,68.60083119,52.25508,87.95871,NA,NA,0.6,0.265339,26.87292,13.85402,29.767,25.867,2020,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,38.4881,44.23297552,84.37,96.96039132,156,164.03,46.3142,405.32,7.5,44347,178.75968,11.328,28453.47122,44.182,63.75073,137.64846,50.49598,79.20847338,38.00245,43.19175,NA,NA,NA,NA,33.76,29.26,21.36,21.36,2016,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,39.5403,42.78970018,84.6296,91.58449612,194.17,209.13,44.5022,491.069,5.8,51955.29,171.50418,12.745,33348.65211,50.762,75.26673,169.13027,62.86836,83.52742307,38.19817,52.72634,NA,NA,NA,NA,32.39143,9.07841,21.2,21.2,2018,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hainan,46.4527,55.91909983,109.6718,132.0213848,300.7903976,325.74,46.7268,647.52,11.2,63707,137.96233,22.873,40213,NA,92.11557,197.13662,74.2931,80.6520548,39.41096,53.842,NA,NA,NA,NA,32.137,10.631,37.419,27.88,2021,      460000,460000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,17.75,31.74250232,79.64,142.4513018,569.13,642.6,47.109,3207.045,6.8,43062,469.56333,4.662322,28249.39182,1166.38,284.98748,604.9529,199.61258,70.04257871,158.123,173.90558,NA,NA,14.2618868,13.8298868,151.805,141.705,80.271,30.47143,2016,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,18.08,32.15770145,71.86,127.7960891,615.097,720.2,48.7083,3401.632,6.6,45387,482.39092,49.810034,30547.75811,NA,323.38332,663.9184,219.93496,68.01060735,241.85762,249.82544,NA,NA,14.9084616,3.1651816,72.291,61.791,80.478,57.26601,2017,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,30.4263,46.84615862,99.3318,152.9374229,1101.64,1244.21,42.4088,3620.689,3.9,48564,460.11346,63.792347,37286,NA,382.64593,902.27941,252.72836,66.04757563,316.49501,458.2067,NA,NA,13.2169567,5.50658619,115.6,59.9,184.4,167.5,2020,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,22.3984,35.67629889,75.4052,120.1060507,727.826,852.1,45.4798,3249.461,6.5,47772.22,447.64037,53.877947,32977.17583,NA,351.38643,772.62086,255.58227,72.73538423,290.71374,327.11012,NA,NA,9.023317,6.416076,117.211,81.433,95.125,76.76071,2018,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,37.17,55.70011247,257.16,385.365235,1574.909,1715.91,43.7423,4237.04,3.8,56995,498.29744,84.317028,41278,NA,408.39771,933.64502,224.26982,54.91456355,201.60978,391.72914,NA,NA,2.8868505,-17.9350816,98.404,41.149,259.374,211.33,2022,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,24.9366,39.51071105,83.0053,131.5175537,875.387,1020.809,44.9991,3510.452,6.8,46347.89,434.7054,58.041095,35738,NA,373.89897,830.90391,263.04136,70.35091859,331.83822,383.00848,NA,NA,30.745649,30.1203157,94.72,46.41,127.7,105.09,2019,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Hebei,32.7456,49.62469755,128.8934,195.3361065,1322.637,1484.21,47.1013,4039.127,6.5,54172,502.38728,83.814594,39791,NA,416.76237,884.82078,273.57263,65.64235394,280.70008,370.36147,NA,NA,15.0939097,-1.0137193,113.1,41,215.719,174.44788,2021,      130000,130000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,41.4972,51.57079089,103.1933,128.2436749,568.45,412.74302,21.1493,1369.85,1,42634.61,98.29165,22.2,31115,NA,115.25107,544.9411,81.19164,70.44762361,44.94399,104.80433,NA,NA,0.14,-3.09775,81.88406,47.76279,53.541,45.88439,2020,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,32.0439,46.25694345,87.226,125.9150262,411.652,429.3,27.4249,1284.65,4.5,43274.41,94.44049,26.41,29191.32576,NA,128.2595,467.67503,98.08045,76.47031994,35.70582,51.67132,NA,NA,0.2614874,-0.6235126,94.48016,27.95083,29.37,29.25,2018,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,43.9173,53.32991719,120.8852,146.7940396,653.45367,667.36063,25.4762,1487.919,6.1,47266,93.5967,30.88,33646,NA,130.05113,510.48145,87.0179,66.91052973,37.03372,75.53189,NA,NA,NA,NA,78.048,39.364,60.648,47.099,2021,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,20.28,31.35310399,72.75,112.4716522,312.03,342.2,27.1663,1538.609,6.1,40432,86.48391,16.54,25736.43232,299.42,114.84112,422.73373,82.78542,72.08691451,31.95458,35.26784,NA,NA,7.2582,NA,79.10038,9.65839,31.38,NA,2016,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,45.8518,54.58442386,493.06,586.9662026,729.09,741.06,23.672,1590.1,2.7,51096,62.86412,39.692,35042,NA,129.06,545.2,79.33,61.46753448,15.29,55.23,NA,NA,NA,NA,73.6,33.867,53.69,42.202,2022,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,21.7232,34.29940126,74.64,117.843795,345.457,380.2,26.7893,1590.268172,6.3562,41916,81.55957,18.94,27445.99264,NA,124.33118,464.10771,90.19067,72.5406692,37.27235,36.82767,NA,NA,7.4033921,1.3126742,75.05186,30.04469,21.48,3.48,2017,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Heilongjiang,34.8837,46.47851412,95.787,127.62521220000001,474.86026,493.96065,25.1969,1361.268,4.2,36182.77,95.80066,27.1,30945,NA,126.27563,501.15589,92.44036,73.20522574,37.78734,57.49276,NA,NA,0.49531,-0.94252,62.82582,41.8352,27.7,25.05,2019,      230000,230000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,12.4537,34.21420365,55.71,153.4542109,554.847,726.55,41.473,4455.283,7.8,46674,709.02498,77.61339,29557.85889,NA,340.72187,821.55182,232.93131,68.36406187,250.95973,249.32289,NA,NA,36.2022967,29.3818316,108.25859,97.39816,53.8,53.8,2017,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,13.1032,35.0346178,54.9483,146.9178861,654.32,828.45,40.8563,4993.59,7.6,50152.22,701.54731,82.81923,31874.18793,NA,376.60183,921.77286,265.66549,70.54280379,382.60525,378.36237,NA,NA,13.5467411,11.0077555,65.18567,37.23573,61.5,54.1,2018,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,13.6513,31.21595647,63.01,144.0741108,552.494,649.95,42.3073,4047.179,8.1444,42575,617.9126,71.2255418,27232.92014,NA,315.3476,745.37436,215.84456,68.44655231,184.88974,192.42337,NA,NA,26.8041359,24.3608416,28,15.8,26.3,26.3,2016,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,14.5784,40.05343253,62.0547,170.4926745,791.00998,972.89854,39.767,5425.92,7,56387.84,746.45887,82.44529,34201,NA,404.18887,1016.39304,284.13445,70.29744535,408.02532,409.88626,NA,NA,24.37780695,20.30171545,74.73968,41.69645,106.97,96.02,2019,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,21.0491,53.92606661,95.8359,245.5239447,1239.52555,1425.89854,44.4991,5888.74053,6.3,59410,787.43455,127.1,37095,NA,435.39214,978.42947,284.25588,65.28732466,336.80746,394.091,NA,NA,28.650485,0.1981649,113.91835,36.90248,227.754,185.76968,2021,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,17.8464,48.72244649,74.9024,204.4910808,981.49939,1185.09854,40.1906,5499.707,1.3,55435.01,778.22869,97.20451,34750,NA,416.88427,1037.26749,276.473,66.31888509,373.79433,486.27431,NA,NA,30.81495724,14.54865564,95.161,42.312,177.678,148.416,2020,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Henan,24.6211,59.15290185,230.29,553.2708801,1510.38,1643.4,40.0353,6134.505,3.1,62106,679.336,127.901,38484,NA,426.16,1064.46,259.032,60.78280458,221.32,396.67,NA,NA,22.50288864,-4.174556061,109.937,29.291,290.026,241.649,2022,      410000,410000,NA,NA,NA,NA,NA,NA,NA
NA,Hubei,15.35,35.37224355,65.88,128.4381307,571.553,599.65,47.7605,3547.809,7.8,60199,457.48908,46.30863,31889.41518,NA,324.83159,680.12572,224.7824,69.19967359,243.43513,285.37067,NA,NA,28.5412832,26.6982472,20.8,18.8,77,NA,2017,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hubei,15.8862,36.52288808,59.6545,137.1476177,667.56951,701.15,45.5629,4202.2,7.8,66615.7,469.31172,52.80245,34454.6274,NA,330.70782,725.82663,246.35159,74.49221793,353.51312,394.38558,NA,NA,40.38876595,31.95886595,37.29387,35.99387,73.6,64,2018,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hubei,15.6241,28.73958074,64.81,119.219032,510.367,525.35,48.2963,3266.538,8.1,55665,429.63824,39.3976,29385.79697,NA,310.20592,642.29765,212.29291,68.43612462,190.654,200.362,NA,NA,48.8160043,46.8160043,152.07,140.97,112.33,101.23,2016,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hubei,17.5437,41.48555093,68.9864,163.1320318,803.99807,841.62841,42.5155,4582.831,7.5,77386.54,511.17254,57.128466,37601,NA,338.85702,797.0207,253.08166,74.6868576,347.49051,354.04658,NA,NA,46.944095,34.2388485,101.2119,98.70425,97.5,NA,2019,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hubei,25.8679,57.59514818,221.62,493.4371892,1390.01,1452.529,38.03,5373.49232,4.3,92059,617.20071,92.731,42626,NA,328.073,862.603,241.125,73.49736187,287.08365,459.31406,NA,NA,12.4072358,-23.53170884,NA,NA,NA,NA,2022,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
