Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",year,Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price,GDP: Industry,GDP,Longitude,Latitude,Post Code
Aba,Sichuan,19.1121,19.11207957,191.3209,191.3209058,7.45524,8.41348,8.632,39.008,6.1,41278,0.212,0.01996,35470,NA,2.64035,30.58792,1.85002,70.06722594,0.53126,1.65321,NA,NA,NA,NA,1.30278,0.96578,1,NA,2019,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,19.1121,19.11207957,191.3209,191.3209058,7.45524,8.41348,8.632,39.008,6.1,41278,0.212,0.01996,35470,NA,2.64035,30.58792,1.85002,70.06722594,0.53126,1.65321,NA,NA,NA,NA,1.30278,0.96578,1,NA,2019,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,15.1722,15.17221168,154.51,154.5080355,4.47823,6.72117,11.0958,29.516,4,31487,0.487,0.03337,30264,NA,2.68146,24.16638,1.76688,65.89246157,0.17194,0.42522,NA,NA,NA,NA,1.432,0.73826,0.10714,NA,2017,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,15.1722,15.17221168,154.51,154.5080355,4.47823,6.72117,11.0958,29.516,4,31487,0.487,0.03337,30264,NA,2.68146,24.16638,1.76688,65.89246157,0.17194,0.42522,NA,NA,NA,NA,1.432,0.73826,0.10714,NA,2017,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,27.06,27.06002713,36.85,36.84994317,12.167,14.778,10.2738,44.963,7.5,54900,1.005,0.0444,40132,NA,3.18469,30.99812,2.19,68.76650475,0.954,2.431,NA,NA,NA,NA,NA,NA,NA,NA,2021,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,27.06,27.06002713,36.85,36.84994317,12.167,14.778,10.2738,44.963,7.5,54900,1.005,0.0444,40132,NA,3.18469,30.99812,2.19,68.76650475,0.954,2.431,NA,NA,NA,NA,NA,NA,NA,NA,2021,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,15.2673,15.26731125,NA,118.3759753,4.295,5.72703,14.7454,28.132,6.2,30171,1.226,0.03534,28048,NA,3.25955,22.10559,1.81793,55.77242257,0.19525,1.28587,NA,NA,NA,NA,0.841,0.453,NA,NA,2016,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,15.2673,15.26731125,NA,118.3759753,4.295,5.72703,14.7454,28.132,6.2,30171,1.226,0.03534,28048,NA,3.25955,22.10559,1.81793,55.77242257,0.19525,1.28587,NA,NA,NA,NA,0.841,0.453,NA,NA,2016,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,29.14,29.14531578,317.58,317.5500589,13.48,15.907,11.4558,46.251,1.3,56473,NA,0.044,41779,NA,3.475,30.334,2.317,66.67625899,0.61,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2022,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,29.14,29.14531578,317.58,317.5500589,13.48,15.907,11.4558,46.251,1.3,56473,NA,0.044,41779,NA,3.475,30.334,2.317,66.67625899,0.61,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2022,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,17.9002,17.90021848,194.69,199.1994949,5.48946,8.2032,8.3575,30.667,4.7,32552,0.31,0.03263,32686,NA,2.4661,29.50767,1.87078,75.8598597,0.28918,1.00462,NA,NA,NA,NA,1.76122,0.87606,0.4962,0.483,2018,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,17.9002,17.90021848,194.69,199.1994949,5.48946,8.2032,8.3575,30.667,4.7,32552,0.31,0.03263,32686,NA,2.4661,29.50767,1.87078,75.8598597,0.28918,1.00462,NA,NA,NA,NA,1.76122,0.87606,0.4962,0.483,2018,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aba,Sichuan,22.9183,22.918275650000002,23.85,23.85063717,9.4366,12.03761,7.8088,41.175,3.3,49668,0.463,0.02581,37011,NA,2.87323,36.79485,1.80143,62.69703435,0.88468,2.36,NA,NA,NA,NA,1.35266,0.62436,1.4022,1.357,2020,513200,510000,NA,NA,NA,NA,102.22,31.9,624000
Aba,Sichuan,22.9183,22.918275650000002,23.85,23.85063717,9.4366,12.03761,7.8088,41.175,3.3,49668,0.463,0.02581,37011,NA,2.87323,36.79485,1.80143,62.69703435,0.88468,2.36,NA,NA,NA,NA,1.35266,0.62436,1.4022,1.357,2020,513200,510000,NA,NA,NA,NA,101.7,32.9,624600
Aksu,Xinjiang,NA,30.49669612,145.64,242.8641503,22.355,24.358,26.9139,122.24,8.1,41831,7.309,0.41629,32812,22.974,11.5745,43.00565,9.1758400000000009,79.27634023,3.62045,6.10933,NA,NA,NA,NA,NA,NA,NA,NA,2019,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,NA,30.49669612,145.64,242.8641503,22.355,24.358,26.9139,122.24,8.1,41831,7.309,0.41629,32812,22.974,11.5745,43.00565,9.1758400000000009,79.27634023,3.62045,6.10933,NA,NA,NA,NA,NA,NA,NA,NA,2019,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,15.55,17.26980673,139.24,153.652821,14.325,15.939,26.5163,91.47392,8.6,32736,4.773,0.31265,28211,16.473,9.39721,35.43943,7.56903,80.54550234,0.87763,0.834,NA,NA,NA,NA,3.5511,2.42456,0.006,-0.01332,2017,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,15.55,17.26980673,139.24,153.652821,14.325,15.939,26.5163,91.47392,8.6,32736,4.773,0.31265,28211,16.473,9.39721,35.43943,7.56903,80.54550234,0.87763,0.834,NA,NA,NA,NA,3.5511,2.42456,0.006,-0.01332,2017,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,31.4,45.52166709,282.37,409.2973627,54.629,57.971,30.7692,173.954,5.5,NA,17.713,1.204,36990,NA,15.132,49.179,11.439,75.59476606,4.082,15.111,NA,NA,NA,NA,4.13,NA,12.18,NA,2022,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,31.4,45.52166709,282.37,409.2973627,54.629,57.971,30.7692,173.954,5.5,NA,17.713,1.204,36990,NA,15.132,49.179,11.439,75.59476606,4.082,15.111,NA,NA,NA,NA,4.13,NA,12.18,NA,2022,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,16.69,16.68923108,138.09,138.0840407,17.147,18.739,26.6177,102.7429,6.6,36092,4.828,0.287,30637,21.17,10.88814,40.90567,9.03859,83.01316846,1.38567,1.38567,NA,NA,NA,NA,5.1855,2.47263,0.461,0.3692,2018,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,16.69,16.68923108,138.09,138.0840407,17.147,18.739,26.6177,102.7429,6.6,36092,4.828,0.287,30637,21.17,10.88814,40.90567,9.03859,83.01316846,1.38567,1.38567,NA,NA,NA,NA,5.1855,2.47263,0.461,0.3692,2018,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,23.62,38.26974802,183.02,296.5933551,31.055,33.026,27.5358,131.50464,5.9,NA,12.458,0.57354,33239,NA,12.16218,44.16862,7.58818,62.39161071,4.63,10.919,NA,NA,NA,NA,NA,NA,NA,NA,2020,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,23.62,38.26974802,183.02,296.5933551,31.055,33.026,27.5358,131.50464,5.9,NA,12.458,0.57354,33239,NA,12.16218,44.16862,7.58818,62.39161071,4.63,10.919,NA,NA,NA,NA,NA,NA,NA,NA,2020,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,25.67,39.25366725,205.87,314.8302279,40.158,43.436,30.1477,156.454,8.4,NA,16.666,0.832,36075,NA,13.369,44.345,9.158,68.5017578,5.922,10.957,NA,NA,NA,NA,4.288,1.66,7.43,7.195,2021,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,25.67,39.25366725,205.87,314.8302279,40.158,43.436,30.1477,156.454,8.4,NA,16.666,0.832,36075,NA,13.369,44.345,9.158,68.5017578,5.922,10.957,NA,NA,NA,NA,4.288,1.66,7.43,7.195,2021,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,NA,NA,NA,NA,NA,NA,29.5722,79.2801,10.3,28289,3.212,0.15495,26098,11.595,8.48378,28.6884,6.55758,77.295498,0.83188,1.22349,NA,NA,NA,NA,4.142,1.912,0.608,0.088,2016,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Aksu,Xinjiang,NA,NA,NA,NA,NA,NA,29.5722,79.2801,10.3,28289,3.212,0.15495,26098,11.595,8.48378,28.6884,6.55758,77.295498,0.83188,1.22349,NA,NA,NA,NA,4.142,1.912,0.608,0.088,2016,652900,650000,NA,NA,NA,NA,80.27,41.17,843000
Altay,Xinjiang,58.5223,66.2862698,80.7788,91.49541022,19.57760989,20.46134,13.5004,33.45322,2.3,50549,3.126,0.57241,32404,7.055,2.86739,21.23935,2.008,70.02884156,1.43283,5.6483,NA,NA,NA,NA,NA,NA,NA,NA,2020,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,58.5223,66.2862698,80.7788,91.49541022,19.57760989,20.46134,13.5004,33.45322,2.3,50549,3.126,0.57241,32404,7.055,2.86739,21.23935,2.008,70.02884156,1.43283,5.6483,NA,NA,NA,NA,NA,NA,NA,NA,2020,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,37.0393,49.15882935,246.51,327.1744004,9.11997,9.718,19.2896,24.62239,7.8,37998,0.892,1.08607,27892,4.18,3.39737,17.61241,2.3135,68.09679252,0.29834,0.30107,NA,NA,NA,NA,3.7957,3.09769,0.05,NA,2017,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,37.0393,49.15882935,246.51,327.1744004,9.11997,9.718,19.2896,24.62239,7.8,37998,0.892,1.08607,27892,4.18,3.39737,17.61241,2.3135,68.09679252,0.29834,0.30107,NA,NA,NA,NA,3.7957,3.09769,0.05,NA,2017,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,26.07,26.06539543,153.53,153.5845895,5.664,6.419,17.8056,21.72996,9.7,33874,0.438,0.94949,25707,3.899,3.136,17.61241,1.824,58.16326531,0.548,0.30107,NA,NA,NA,NA,3.7957,3.09769,0.05,NA,2016,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,26.07,26.06539543,153.53,153.5845895,5.664,6.419,17.8056,21.72996,9.7,33874,0.438,0.94949,25707,3.899,3.136,17.61241,1.824,58.16326531,0.548,0.30107,NA,NA,NA,NA,3.7957,3.09769,0.05,NA,2016,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,42.1276,48.44953215,55.8321,64.21055863,14.288,15.12834,18.0953,33.916,6.2,51524,3.043,1.10444,32533,7.396,3.68275,20.35194,2.56353,69.60912362,1.09285,1.96137,NA,NA,NA,NA,NA,NA,NA,NA,2019,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,42.1276,48.44953215,55.8321,64.21055863,14.288,15.12834,18.0953,33.916,6.2,51524,3.043,1.10444,32533,7.396,3.68275,20.35194,2.56353,69.60912362,1.09285,1.96137,NA,NA,NA,NA,NA,NA,NA,NA,2019,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,39.9093,46.42412556,56.8686,66.1519107,11.338,12.063,20.1437,28.40945,5.4,43464,0.506,0.95434,30263,5.34,3.50657,17.40774,2.41049,68.74210411,0.65878,1.27474,NA,NA,NA,NA,NA,NA,NA,NA,2018,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,39.9093,46.42412556,56.8686,66.1519107,11.338,12.063,20.1437,28.40945,5.4,43464,0.506,0.95434,30263,5.34,3.50657,17.40774,2.41049,68.74210411,0.65878,1.27474,NA,NA,NA,NA,NA,NA,NA,NA,2018,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,82.16,87.68759724,605.9,646.791096,32.838,34.384,14.9542,39.971,1.3,59739,NA,1.06094,35624,NA,3.579,23.933,2.376,66.38725901,1.84,6.916,NA,NA,NA,NA,2.57,NA,5.96,NA,2022,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,82.16,87.68759724,605.9,646.791096,32.838,34.384,14.9542,39.971,1.3,59739,NA,1.06094,35624,NA,3.579,23.933,2.376,66.38725901,1.84,6.916,NA,NA,NA,NA,2.57,NA,5.96,NA,2022,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,69.0913,76.15996198,376.58,563.0800029,25.637,26.991,17.6339,37.106,5.4,55387,4.5,0.68349,34946,9.262,3.39695,19.2637,2.52248,74.25720131,1.59831,5.41815,NA,NA,NA,NA,1.85,0.83379,0.1801,0.12137,2021,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Altay,Xinjiang,69.0913,76.15996198,376.58,563.0800029,25.637,26.991,17.6339,37.106,5.4,55387,4.5,0.68349,34946,9.262,3.39695,19.2637,2.52248,74.25720131,1.59831,5.41815,NA,NA,NA,NA,1.85,0.83379,0.1801,0.12137,2021,654300,650000,NA,NA,NA,NA,88.13,47.85,836500
Alxa,Inner Mongolia,51.7246,51.72464754,553.71,553.7100451,15.95964,16.3,24.8548,30.855,9,NA,0.78215,0.77384,40407,NA,2.43058,9.77912,1.88358,77.49508348,0.45173,0.66397,NA,NA,NA,NA,3.20357,1.34347,0.44559,0.15274,2018,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,70.6172,70.61719783,614.57,614.5603716,20.854,21.488,25.6453,29.53105,5.894,118100.575,1.30936,0.69971,42983.1342,NA,2.87494,11.21039,2.21092,76.90317015,0.49562,2.72003,NA,NA,NA,NA,2.54726,0.7462,3.5617,2.0487,2019,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,40.0327,40.03271792,368.01,368.0576258,13.704,13.847,38.22,34.232,7.831,139951,0.10579,0.422,34737,NA,3.50212,9.16305,1.78384,50.93600448,0.22121,0.39852,NA,NA,NA,NA,2.54726,NA,NA,NA,2016,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,NA,NA,NA,NA,NA,NA,35.0892,40.73,3.6,150848,0.43,NA,49629,NA,3.61916,10.31417,2.352,64.98745565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,79.4189,79.41890074,649.95,650.004297,24.20291,24.35,28.3068,30.475,3.8,116608,1.43745,0.525,44009,NA,3.10682,10.97552,2.13251,68.63963796,0.60954,3.11308,NA,NA,NA,NA,3.51346,1.17135,2.55094,2.214,2020,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,49.1147,55.69931765,597.56,677.6636744,14.702,14.59,25.8104,29.934,3.9,NA,0.1195,0.642,37585,NA,2.17445,8.42472,1.69484,77.94338798,0.28592,0.4117,NA,NA,NA,NA,1.87241,0.87329,0.65782,0.08026,2017,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Alxa,Inner Mongolia,68.5121,68.51210121,631.29,370.461802,24.911,25.8,39.2907,36.36,4.4,137663,1.27927,0.384,47266,NA,3.35388,8.53607,2.36475,70.50788937,0.58716,1.02027,NA,NA,NA,NA,1.579,0.093,1.098,0.611,2021,152900,150000,NA,NA,NA,NA,105.67,38.83,750306
Ankang,Shaanxi,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,2018,610900,610000,4600.57,12992.44,Total,106.517,109.02,32.68,725000
Ankang,Shaanxi,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,2018,610900,610000,4600.57,12992.44,Primary Industry,12.335,109.02,32.68,725000
Ankang,Shaanxi,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,2018,610900,610000,4600.57,12992.44,Secondary Industry,49.088,109.02,32.68,725000
Ankang,Shaanxi,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,2018,610900,610000,4600.57,12992.44,Tertiary Industry,45.093,109.02,32.68,725000
Ankang,Shaanxi,19.6698,25.4959765,307.52,398.6063434,22.301,23.767,8.6047,113.377,10.2,42544,12.99244,0.071,24977,NA,2.75055,31.96579,2.24241,81.52587664,4.49433,4.48004,NA,NA,NA,NA,3.97084,1.85136,1.97984,0.997,2018,610900,610000,4600.57,12992.44,SI - Industry,41.471,109.02,32.68,725000
Ankang,Shaanxi,35.6283,44.09629336,463.02,573.6571483,43.092,45.827,9.3369,120.9488,7.5,48687,20.51688,0.093,30496,NA,3.24809,34.78761,2.44751,75.35228396,5.95879,8.70907,NA,NA,NA,NA,NA,NA,NA,NA,2021,610900,610000,5351.016,20516.88,NA,NA,109.02,32.68,725000
Ankang,Shaanxi,37.84,46.33191625,615.65,753.8309141,48.006,51.167,8.4859000000000009,126.865,2,51261,15.703,0.237,31976,NA,3.13737,36.97153,2.205,70.28179654,4.341,8.72,NA,NA,NA,NA,NA,NA,NA,NA,2022,610900,610000,NA,NA,NA,NA,109.02,32.68,725000
Ankang,Shaanxi,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,2019,610900,610000,5314.999,16276.62,Total,118.206,109.02,32.68,725000
Ankang,Shaanxi,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,2019,610900,610000,5314.999,16276.62,Primary Industry,13.752,109.02,32.68,725000
Ankang,Shaanxi,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,2019,610900,610000,5314.999,16276.62,Secondary Industry,55.21,109.02,32.68,725000
Ankang,Shaanxi,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,2019,610900,610000,5314.999,16276.62,Tertiary Industry,49.244,109.02,32.68,725000
Ankang,Shaanxi,24.503,31.35959668,289.19,370.1085482,28.964,30.684,7.5115,118.206,7.9,44241,16.27662,0.128,27016,NA,2.76966,36.87237,2.30707,83.29794993,7.16549,8.25235,NA,NA,0.0786,NA,7.09011,5.12935,2.276,2.006,2019,610900,610000,5314.999,16276.62,SI - Industry,45.761,109.02,32.68,725000
Ankang,Shaanxi,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,2017,610900,610000,3713.945,9387.49,Total,94.888,109.02,32.68,725000
Ankang,Shaanxi,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,2017,610900,610000,3713.945,9387.49,Primary Industry,12.517,109.02,32.68,725000
Ankang,Shaanxi,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,2017,610900,610000,3713.945,9387.49,Secondary Industry,42,109.02,32.68,725000
Ankang,Shaanxi,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,2017,610900,610000,3713.945,9387.49,Tertiary Industry,40.371,109.02,32.68,725000
Ankang,Shaanxi,20.519,31.58886329,386.91,595.6424624,19.999,20.82,10.2098,97.466,10.5,36662,9.38749,0.30473,28158,NA,2.8021,27.44518,1.86985,66.73030941,2.35465,2.55887,NA,NA,0.015,NA,3.875,2.486,1.57026,0.09,2017,610900,610000,3713.945,9387.49,SI - Industry,35.107,109.02,32.68,725000
Ankang,Shaanxi,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,2016,610900,610000,3246.8,9511.87,Total,82.508,109.02,32.68,725000
Ankang,Shaanxi,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,2016,610900,610000,3246.8,9511.87,Primary Industry,12.218,109.02,32.68,725000
Ankang,Shaanxi,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,2016,610900,610000,3246.8,9511.87,Secondary Industry,36.234,109.02,32.68,725000
Ankang,Shaanxi,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,2016,610900,610000,3246.8,9511.87,Tertiary Industry,34.055,109.02,32.68,725000
Ankang,Shaanxi,18.5428,30.32195479,306.26,498.7726958,15.629,16.65,12.1496,84.286,11.3,31770,9.51187,0.031,25962,36.052,3.01067,24.78005,1.73479,57.62139324,2.08834,2.30767,NA,NA,0.7850011,NA,6.104,NA,1.883,0.882,2016,610900,610000,3246.8,9511.87,SI - Industry,29.907,109.02,32.68,725000
Ankang,Shaanxi,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,2020,610900,610000,5506.116,17508.42,Total,108.878,109.02,32.68,725000
Ankang,Shaanxi,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,2020,610900,610000,5506.116,17508.42,Primary Industry,15.72,109.02,32.68,725000
Ankang,Shaanxi,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,2020,610900,610000,5506.116,17508.42,Secondary Industry,43.856,109.02,32.68,725000
Ankang,Shaanxi,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,2020,610900,610000,5506.116,17508.42,Tertiary Industry,49.303,109.02,32.68,725000
Ankang,Shaanxi,34.2604,42.8854978,373.1,467.0272657,37.302,40.852,7.2247,108.878,-9.1,43378,17.50842,0.146,28247,NA,2.83661,39.26268,2.23483,78.78524013,7.11707,9.0296,NA,NA,0.5805,NA,7.78339,4.99326,2.86602,2.40933,2020,610900,610000,5506.116,17508.42,SI - Industry,34.249,109.02,32.68,725000
Anqing,Anhui,20.5142,37.43145938,159.2,289.5400189,31.411,33.098,37.9635,153.118,8,33294,14.05467,1.75604,26502,NA,12.79945,33.71512,8.12724,63.49679088,6.93,8.04,NA,NA,1.2917035,NA,8.37013,1.62609,NA,NA,2016,340800,340000,4551.682,14054.67,Total,153.118,117.05,30.53,246000
Anqing,Anhui,20.5142,37.43145938,159.2,289.5400189,31.411,33.098,37.9635,153.118,8,33294,14.05467,1.75604,26502,NA,12.79945,33.71512,8.12724,63.49679088,6.93,8.04,NA,NA,1.2917035,NA,8.37013,1.62609,NA,NA,2016,340800,340000,4551.682,14054.67,Primary Industry,19.216,117.05,30.53,246000
Anqing,Anhui,20.5142,37.43145938,159.2,289.5400189,31.411,33.098,37.9635,153.118,8,33294,14.05467,1.75604,26502,NA,12.79945,33.71512,8.12724,63.49679088,6.93,8.04,NA,NA,1.2917035,NA,8.37013,1.62609,NA,NA,2016,340800,340000,4551.682,14054.67,Secondary Industry,72.718,117.05,30.53,246000
Anqing,Anhui,20.5142,37.43145938,159.2,289.5400189,31.411,33.098,37.9635,153.118,8,33294,14.05467,1.75604,26502,NA,12.79945,33.71512,8.12724,63.49679088,6.93,8.04,NA,NA,1.2917035,NA,8.37013,1.62609,NA,NA,2016,340800,340000,4551.682,14054.67,Tertiary Industry,61.184,117.05,30.53,246000
