Carbon Emissions,Statistical_Division_Code,Province.Code,Region,year,Province.x,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance (Special Bond)(CNY,B)","Net Financing (Special Bond)(CNY,B)",Annual_Real_Estate_Investment,Annual_Avg_Property_Price,Province.y,Longitude,Latitude,Post Code
41.33066349,130300,130000,Qinhuangdao,2017,Hebei,29.8834,34.35055045,241.99,276.7821608,44.83514,50.07144,45.1287,150.03351,7.3,48356,16.69504,4.993180657,32795,NA,11.85525,26.26987,8.42376,71.05510217,6.66443,8.03348,NA,NA,0.95,0.94552,NA,NA,3.83012,NA,6491.607,16695.04,Hebei,119.6,39.93,66000
NA,130300,130000,Qinhuangdao,2018,Hebei,31.0244,35.79365449,210.41,242.7208912,46.764,54.331,45.8144,150.733,7.3,52380,19.53248,5.364655,35386,NA,13.34339,29.12487,9.35775,70.13022927,8.78469,10.41977,NA,NA,0.031,-0.046241,NA,NA,3.14192,NA,7898,19532.48,Hebei,119.6,39.93,66000
NA,130300,130000,Qinhuangdao,2019,Hebei,30.7285,35.74093014,178.29,207.3638585,49.535,58.888,45.3342,161.202,6.7,51334,19.89253,5.20497,38359,NA,14.4136,31.79413,10.17449,70.58951268,13.31483,13.29685,NA,NA,0.142,-0.258,NA,NA,NA,NA,9620.519,19892.53,Hebei,119.6,39.93,66000
130.4152629,130400,130000,Handan,2016,Hebei,7.31,17.03907973,76.53,178.4213087,24.564,NA,38.4662,336.11123,6.8,35265,38.1721,2.52259,26602.53,118.25,20.45018,53.16404,13.32902,65.17800821,11.64815,15.16431,NA,NA,0.0793,NA,14.024,2.197,8.421,3.78778,5305.223,38172.1,Hebei,114.48,36.62,56000
130.4152629,130400,130000,Handan,2016,Hebei,7.31,17.03907973,76.53,178.4213087,24.564,NA,38.4662,336.11123,6.8,35265,38.1721,2.52259,26602.53,118.25,20.45018,53.16404,13.32902,65.17800821,11.64815,15.16431,NA,NA,0.0793,NA,14.024,2.197,8.421,3.78778,5305.223,38172.1,Hebei,114.53,36.6,56100
118.890939,130400,130000,Handan,2017,Hebei,16.59,31.81654366,162.64,311.8446314,56.077,66.431,40.2399,337.95261,7,35567,47.5249,2.18607,28773.77953,137.03,22.0115,54.70074,14.45473,65.66899121,12.36876,18.6419,NA,NA,0.2759553,NA,3.342,0.488,7.038,6.757,5581.473,47524.9,Hebei,114.48,36.62,56000
118.890939,130400,130000,Handan,2017,Hebei,16.59,31.81654366,162.64,311.8446314,56.077,66.431,40.2399,337.95261,7,35567,47.5249,2.18607,28773.77953,137.03,22.0115,54.70074,14.45473,65.66899121,12.36876,18.6419,NA,NA,0.2759553,NA,3.342,0.488,7.038,6.757,5581.473,47524.9,Hebei,114.53,36.6,56100
156.0504753,130400,130000,Handan,2018,Hebei,19.516,35.79226981,149.07,273.3957605,63.607,77.531,38.8813,325.922,6.6,36289,42.3624,2.18442,31133,NA,24.3397,62.59998,16.58329,68.13268035,16.75968,23.36359,NA,NA,0.2375059,NA,9.085,3.377,8.84901,7.31036,6358,42362.4,Hebei,114.48,36.62,56000
156.0504753,130400,130000,Handan,2018,Hebei,19.516,35.79226981,149.07,273.3957605,63.607,77.531,38.8813,325.922,6.6,36289,42.3624,2.18442,31133,NA,24.3397,62.59998,16.58329,68.13268035,16.75968,23.36359,NA,NA,0.2375059,NA,9.085,3.377,8.84901,7.31036,6358,42362.4,Hebei,114.53,36.6,56100
150.6199859,130400,130000,Handan,2019,Hebei,21.0103,37.27319946,142.68,253.1267658,73.242,90.54,37.5883,348.6,7.2,36546,42.59304,2.719,33904,NA,26.20683,69.7208,18.14655,69.24359032,25.1025,29.85889,NA,NA,1.07991,NA,NA,NA,9.957,6.97915,6811.594,42593.04,Hebei,114.48,36.62,56000
150.6199859,130400,130000,Handan,2019,Hebei,21.0103,37.27319946,142.68,253.1267658,73.242,90.54,37.5883,348.6,7.2,36546,42.59304,2.719,33904,NA,26.20683,69.7208,18.14655,69.24359032,25.1025,29.85889,NA,NA,1.07991,NA,NA,NA,9.957,6.97915,6811.594,42593.04,Hebei,114.53,36.6,56100
56.41217461,130500,130000,Xingtai,2016,Hebei,5.3,9.234847222,52.08,90.66958431,10.48,NA,27.231,197.5746,7.1,27038,19.1541,1.79595,23913.35,63.24,11.14802,40.93874,7.52222,67.47583876,8.96972,12.16449,NA,NA,0.077,NA,6.404,1.57,7.58363,2.8448,3923.034,19154.1,Hebei,114.48,37.07,54000
56.41217461,130500,130000,Xingtai,2016,Hebei,5.3,9.234847222,52.08,90.66958431,10.48,NA,27.231,197.5746,7.1,27038,19.1541,1.79595,23913.35,63.24,11.14802,40.93874,7.52222,67.47583876,8.96972,12.16449,NA,NA,0.077,NA,6.404,1.57,7.58363,2.8448,3923.034,19154.1,Hebei,114.5,37.08,54000
54.16634105,130500,130000,Xingtai,2017,Hebei,15.79,20.00086317,129.18,163.5988306,33.018,40.721,30.2821,209.06243,7.1,28499,19.68427,2.121746148,26179.29604,77.33,12.67379,41.85241,8.28766,65.39212027,12.76366,15.84999,NA,NA,0.1601881,NA,2.026,0.743,6.33777,5.56645,4363.339,19684.27,Hebei,114.48,37.07,54000
54.16634105,130500,130000,Xingtai,2017,Hebei,15.79,20.00086317,129.18,163.5988306,33.018,40.721,30.2821,209.06243,7.1,28499,19.68427,2.121746148,26179.29604,77.33,12.67379,41.85241,8.28766,65.39212027,12.76366,15.84999,NA,NA,0.1601881,NA,2.026,0.743,6.33777,5.56645,4363.339,19684.27,Hebei,114.5,37.08,54000
NA,130500,130000,Xingtai,2018,Hebei,20.0074,24.82324343,105.12,130.4261386,38.966,48.019,30.1113,194.758,7,29210,23.19133,2.234526,28640,NA,14.90014,49.48361,10.06594,67.55600954,21.93412,22.45231,NA,NA,0.3789157,NA,4.586,2.455,6.07351,4.35688,4842,23191.33,Hebei,114.48,37.07,54000
NA,130500,130000,Xingtai,2018,Hebei,20.0074,24.82324343,105.12,130.4261386,38.966,48.019,30.1113,194.758,7,29210,23.19133,2.234526,28640,NA,14.90014,49.48361,10.06594,67.55600954,21.93412,22.45231,NA,NA,0.3789157,NA,4.586,2.455,6.07351,4.35688,4842,23191.33,Hebei,114.5,37.08,54000
NA,130500,130000,Xingtai,2019,Hebei,22.108,27.51104841,118.36,147.2884106,46.868,57.407,29.0377,211.996,7,28707,26.64882,2.244,31533,NA,15.9845,55.04747,10.6097,66.37492571,23.33571,23.91969,NA,NA,1.3516049,NA,NA,NA,NA,NA,5081.105,26648.82,Hebei,114.48,37.07,54000
NA,130500,130000,Xingtai,2019,Hebei,22.108,27.51104841,118.36,147.2884106,46.868,57.407,29.0377,211.996,7,28707,26.64882,2.244,31533,NA,15.9845,55.04747,10.6097,66.37492571,23.33571,23.91969,NA,NA,1.3516049,NA,NA,NA,NA,NA,5081.105,26648.82,Hebei,114.5,37.08,54000
28.46805519,130600,130000,Baoding,2016,Hebei,4.71,4.933383363,40.05,41.98426948,16.364,NA,39.2285,347.71269,7.1,29992,73.57727,3.86638,25679.72,101.08,24.00998,61.20552,15.82974,65.92983418,16.79379,18.18739,NA,NA,NA,NA,NA,NA,5.85616,3.10477,4840.882,61913.87,Hebei,115.47,38.87,71000
29.38395416,130600,130000,Baoding,2017,Hebei,5.5358,5.674913191,37.27,38.20674774,19.097,NA,38.9371,344.97444,6.115722,29579.5483,62.91623,4.78367,27859,NA,25.8415,66.36722,16.97129,65.6745545,25.36476,25.30147,NA,NA,NA,NA,NA,NA,7.62365,5.3042299999999996,6120.19,51698.64,Hebei,115.47,38.87,71000
24.04301868,130600,130000,Baoding,2018,Hebei,11.2527,12.35509751,59.71,65.56474775,39.684,49.849,38.4792,352.661,7,32810,54.86565,5.026933,30283,NA,25.6705,66.71275,19.96219,77.76315226,40.73957,35.68334,NA,NA,NA,NA,NA,NA,10.99653,6.11923,7189,54865.65,Hebei,115.47,38.87,71000
